INSERT INTO `users`(`userName`, `userEmail`, `userPassword`, `userHighscore`, `userRank`, `userElo`) VALUES
('paperexpectation','paperexpectation@outlook.com','paperexpectation',17433,'',9291),
('exemptionspontaneous','exemptionspontaneous@outlook.com','exemptionspontaneous',58422,'Grandmaster',5384),
('transmissionfax','transmissionfax@gmail.com','transmissionfax',3298,'Master',3862),
('recordingvirtue','recordingvirtue@yahoomail.com','recordingvirtue',16721,'Silver',8572),
('papertrain','papertrain@outlook.com','papertrain',15349,'Iron',2541),
('reproductiongrimace','reproductiongrimace@gmail.com','reproductiongrimace',48526,'Silver',4664),
('possibleaccompany','possibleaccompany@yahoomail.com','possibleaccompany',80157,'Master',8136),
('prayerclearance','prayerclearance@outlook.com','prayerclearance',38550,'Runner',154),
('recordingbarrier','recordingbarrier@yahoomail.com','recordingbarrier',7443,'Iron',7037),
('interestsolve','interestsolve@outlook.com','interestsolve',75944,'Master',5518),
('umbrellalily','umbrellalily@gmail.com','umbrellalily',68636,'Diamond',3250),
('skaterepresent','skaterepresent@gmail.com','skaterepresent',77573,'Iron',9788),
('accurateglimpse','accurateglimpse@yahoomail.com','accurateglimpse',5927,'Diamond',8128),
('lackunpleasant','lackunpleasant@gmail.com','lackunpleasant',9090,'Iron',8959),
('printerdictionary','printerdictionary@gmail.com','printerdictionary',3319,'Iron',4004),
('cultureretiree','cultureretiree@outlook.com','cultureretiree',96646,'Bronze',657),
('dismissalcoup','dismissalcoup@gmail.com','dismissalcoup',45466,'Master',6875),
('gallonclique','gallonclique@gmail.com','gallonclique',52367,'Silver',616),
('southget','southget@yahoomail.com','southget',26095,'Gold',4847),
('mailpleasant','mailpleasant@outlook.com','mailpleasant',22989,'Bronze',2469),
('opposedstretch','opposedstretch@outlook.com','opposedstretch',12104,'Master',2645),
('prayerfactory','prayerfactory@yahoomail.com','prayerfactory',44537,'Bronze',6812),
('calorieactive','calorieactive@yahoomail.com','calorieactive',60632,'Plat',2926),
('preyaware','preyaware@gmail.com','preyaware',7435,'Gold',4795),
('dismissalreproduction','dismissalreproduction@outlook.com','dismissalreproduction',43312,'Plat',5779),
('accompanyshot','accompanyshot@yahoomail.com','accompanyshot',87370,'Iron',2557),
('lilypick','lilypick@gmail.com','lilypick',56179,'Iron',1724),
('sequenceintervention','sequenceintervention@yahoomail.com','sequenceintervention',49921,'Master',7336),
('tidycontempt','tidycontempt@yahoomail.com','tidycontempt',39660,'Gold',4458),
('accuratevelvet','accuratevelvet@gmail.com','accuratevelvet',58860,'Iron',7466),
('flataware','flataware@yahoomail.com','flataware',97197,'Diamond',1443),
('umbrellainn','umbrellainn@yahoomail.com','umbrellainn',53420,'Master',8957),
('mainstreamarrest','mainstreamarrest@outlook.com','mainstreamarrest',11634,'Gold',1941),
('literaturesequence','literaturesequence@yahoomail.com','literaturesequence',15108,'',6597),
('screwpromotion','screwpromotion@outlook.com','screwpromotion',9790,'Bronze',8685),
('goatbullet','goatbullet@outlook.com','goatbullet',21219,'Silver',6693),
('warrantarrange','warrantarrange@outlook.com','warrantarrange',81720,'Iron',7615),
('legtwitch','legtwitch@outlook.com','legtwitch',74922,'Silver',1829),
('elegantprogress','elegantprogress@outlook.com','elegantprogress',81699,'Grandmaster',5649),
('freedomcheck','freedomcheck@gmail.com','freedomcheck',67273,'Silver',9210),
('transmissionvegetation','transmissionvegetation@outlook.com','transmissionvegetation',44847,'',7008),
('adventureaccurate','adventureaccurate@yahoomail.com','adventureaccurate',49990,'Silver',5461),
('disasterdiscuss','disasterdiscuss@gmail.com','disasterdiscuss',44274,'Plat',515),
('arrangeconstituency','arrangeconstituency@outlook.com','arrangeconstituency',48100,'Runner',5078),
('skipmonk','skipmonk@yahoomail.com','skipmonk',6586,'Runner',7197),
('roughextract','roughextract@outlook.com','roughextract',72606,'Bronze',9827),
('dutyproduction','dutyproduction@yahoomail.com','dutyproduction',12607,'Bronze',644),
('gregariousdrum','gregariousdrum@yahoomail.com','gregariousdrum',64608,'Gold',4023),
('interfaceretiree','interfaceretiree@outlook.com','interfaceretiree',84118,'Master',7689),
('gradualera','gradualera@gmail.com','gradualera',80940,'Master',2537),
('failurehurt','failurehurt@gmail.com','failurehurt',63111,'Master',5041),
('cityoh','cityoh@gmail.com','cityoh',99304,'Plat',1315),
('imagelace','imagelace@gmail.com','imagelace',55008,'Plat',8007),
('quarterabsence','quarterabsence@yahoomail.com','quarterabsence',20598,'Master',2926),
('barriermoving','barriermoving@gmail.com','barriermoving',36853,'Master',2098),
('shakespontaneous','shakespontaneous@yahoomail.com','shakespontaneous',85280,'Plat',9017),
('stepretiree','stepretiree@yahoomail.com','stepretiree',70042,'',3288),
('routeblade','routeblade@outlook.com','routeblade',30079,'Runner',9567),
('fussexchange','fussexchange@yahoomail.com','fussexchange',71880,'',1873),
('romanticdescribe','romanticdescribe@yahoomail.com','romanticdescribe',61679,'Gold',4001),
('ribbonequip','ribbonequip@yahoomail.com','ribbonequip',60010,'Master',133),
('accurateget','accurateget@outlook.com','accurateget',80572,'',6525),
('establishfear','establishfear@gmail.com','establishfear',90137,'Diamond',609),
('waterarrangement','waterarrangement@gmail.com','waterarrangement',14685,'Silver',9858),
('sniffcylinder','sniffcylinder@gmail.com','sniffcylinder',69349,'Grandmaster',7769),
('reservoirpan','reservoirpan@yahoomail.com','reservoirpan',23869,'Gold',1682),
('chocolatesouth','chocolatesouth@outlook.com','chocolatesouth',29235,'Runner',2889),
('reservoirmodest','reservoirmodest@gmail.com','reservoirmodest',80564,'Silver',8783),
('freedomroutine','freedomroutine@outlook.com','freedomroutine',81620,'Plat',8582),
('finalno','finalno@outlook.com','finalno',24813,'',5270),
('awardcity','awardcity@gmail.com','awardcity',99768,'Gold',7020),
('interventionbed','interventionbed@outlook.com','interventionbed',84469,'Diamond',6699),
('progressbaby','progressbaby@yahoomail.com','progressbaby',27719,'Plat',356),
('fearcriticism','fearcriticism@yahoomail.com','fearcriticism',5886,'Master',2047),
('corpseretiree','corpseretiree@yahoomail.com','corpseretiree',19103,'',749),
('snowrough','snowrough@gmail.com','snowrough',2133,'Runner',9658),
('stretchintervention','stretchintervention@outlook.com','stretchintervention',94529,'Silver',6996),
('stressvegetation','stressvegetation@yahoomail.com','stressvegetation',44498,'Gold',540),
('fame	flat','fame	flat@yahoomail.com','fame	flat',55758,'Silver',3172),
('virtuepie','virtuepie@gmail.com','virtuepie',65582,'Plat',720),
('arrowfear','arrowfear@yahoomail.com','arrowfear',98056,'Master',4339),
('civilizationsink','civilizationsink@yahoomail.com','civilizationsink',67608,'Runner',6000),
('southshake','southshake@yahoomail.com','southshake',12380,'Diamond',5428),
('changefreedom','changefreedom@gmail.com','changefreedom',4338,'Bronze',3639),
('bitepush','bitepush@outlook.com','bitepush',75700,'Master',6505),
('followdescribe','followdescribe@gmail.com','followdescribe',46212,'',9952),
('infectpossession','infectpossession@gmail.com','infectpossession',82683,'Gold',9365),
('imageshot','imageshot@gmail.com','imageshot',43386,'Gold',117),
('skateconsumption','skateconsumption@outlook.com','skateconsumption',55500,'Diamond',5548),
('tiptoefitness','tiptoefitness@yahoomail.com','tiptoefitness',35239,'Diamond',5620),
('accuratecheck','accuratecheck@gmail.com','accuratecheck',80988,'Diamond',8110),
('stepdoubt','stepdoubt@outlook.com','stepdoubt',79078,'Iron',3768),
('wristlack','wristlack@yahoomail.com','wristlack',93201,'Silver',1497),
('progressrough','progressrough@outlook.com','progressrough',34287,'Plat',612),
('exchangejustify','exchangejustify@yahoomail.com','exchangejustify',45629,'Iron',2778),
('arrestno','arrestno@outlook.com','arrestno',63675,'Bronze',8193),
('publishercane','publishercane@yahoomail.com','publishercane',70855,'Runner',5345),
('representpromotion','representpromotion@outlook.com','representpromotion',71461,'Silver',2005),
('wellrecording','wellrecording@outlook.com','wellrecording',34816,'Diamond',4469),
('vaguestretch','vaguestretch@outlook.com','vaguestretch',69887,'Plat',8399),
('housewifeopinion','housewifeopinion@outlook.com','housewifeopinion',90532,'Runner',5694),
('screwsandwich','screwsandwich@yahoomail.com','screwsandwich',36885,'Iron',7280),
('shiveropposed','shiveropposed@yahoomail.com','shiveropposed',92165,'Bronze',9828),
('returnreproduction','returnreproduction@gmail.com','returnreproduction',19014,'Iron',4180),
('cityleft','cityleft@outlook.com','cityleft',39992,'Bronze',9022),
('spontaneousstress','spontaneousstress@gmail.com','spontaneousstress',83796,'Iron',5876),
('reviewglimpse','reviewglimpse@yahoomail.com','reviewglimpse',88789,'Plat',6611),
('curtainpredict','curtainpredict@yahoomail.com','curtainpredict',69777,'Silver',4613),
('graphicaccessible','graphicaccessible@outlook.com','graphicaccessible',53800,'Diamond',1629),
('mailseason','mailseason@gmail.com','mailseason',78186,'Master',5920),
('factorycharter','factorycharter@outlook.com','factorycharter',31103,'Silver',8624),
('transmissionpossible','transmissionpossible@yahoomail.com','transmissionpossible',37212,'Diamond',8046),
('fame	inn','fame	inn@yahoomail.com','fame	inn',63324,'',3547),
('stresspreach','stresspreach@yahoomail.com','stresspreach',69704,'Iron',2800),
('superintendentresist','superintendentresist@yahoomail.com','superintendentresist',65726,'Master',4490),
('battlefielddeliver','battlefielddeliver@outlook.com','battlefielddeliver',64916,'Iron',8500),
('husbandpossession','husbandpossession@outlook.com','husbandpossession',30743,'Plat',8598),
('inncheck','inncheck@gmail.com','inncheck',16155,'Diamond',7155),
('itemposition','itemposition@yahoomail.com','itemposition',28627,'Runner',2719),
('lackvillage','lackvillage@yahoomail.com','lackvillage',72618,'Grandmaster',8414),
('sequencetiptoe','sequencetiptoe@yahoomail.com','sequencetiptoe',95612,'Plat',3015),
('gregariousroutine','gregariousroutine@outlook.com','gregariousroutine',59602,'Grandmaster',9629),
('seasonmainstream','seasonmainstream@outlook.com','seasonmainstream',1087,'Diamond',489),
('drumjustify','drumjustify@gmail.com','drumjustify',83219,'Master',6665),
('sniffcontempt','sniffcontempt@gmail.com','sniffcontempt',88502,'Diamond',3725),
('hurtsex','hurtsex@outlook.com','hurtsex',91378,'Master',4266),
('fame	oh','fame	oh@yahoomail.com','fame	oh',54265,'Diamond',4773),
('sandwichcredit','sandwichcredit@outlook.com','sandwichcredit',75442,'Iron',3414),
('failurelack','failurelack@gmail.com','failurelack',84867,'Diamond',6373),
('vegetationpossible','vegetationpossible@yahoomail.com','vegetationpossible',90674,'Diamond',8871),
('descentcottage','descentcottage@outlook.com','descentcottage',29705,'Iron',9659),
('locatefish','locatefish@outlook.com','locatefish',8897,'Gold',1812),
('doubtaccessible','doubtaccessible@outlook.com','doubtaccessible',71176,'Silver',1132),
('stepestablish','stepestablish@yahoomail.com','stepestablish',1234,'Iron',6689),
('matchsofa','matchsofa@gmail.com','matchsofa',15933,'Gold',2696),
('preyfitness','preyfitness@outlook.com','preyfitness',93370,'Master',1368),
('trenchhike','trenchhike@yahoomail.com','trenchhike',77784,'Gold',6044),
('pandepressed','pandepressed@gmail.com','pandepressed',93766,'Iron',7647),
('radioarrangement','radioarrangement@outlook.com','radioarrangement',25201,'Diamond',119),
('sniffhandy','sniffhandy@gmail.com','sniffhandy',70443,'Bronze',786),
('seriesadopt','seriesadopt@outlook.com','seriesadopt',40580,'Silver',9163),
('foollocate','foollocate@yahoomail.com','foollocate',15702,'Master',9667),
('fisthousewife','fisthousewife@outlook.com','fisthousewife',13830,'Diamond',7213),
('accuratelack','accuratelack@gmail.com','accuratelack',22541,'Gold',4526),
('glimpseaware','glimpseaware@outlook.com','glimpseaware',24053,'',8633),
('warrantcancer','warrantcancer@yahoomail.com','warrantcancer',25019,'Master',629),
('meritshiver','meritshiver@gmail.com','meritshiver',82822,'Master',3830),
('gregariousaccessible','gregariousaccessible@outlook.com','gregariousaccessible',25478,'Grandmaster',4042),
('wisecrackagenda','wisecrackagenda@outlook.com','wisecrackagenda',59484,'Grandmaster',6949),
('routinecirculation','routinecirculation@yahoomail.com','routinecirculation',42836,'Runner',9491),
('elapseaward','elapseaward@gmail.com','elapseaward',67932,'Runner',5883),
('delivercolleague','delivercolleague@gmail.com','delivercolleague',11445,'Grandmaster',5709),
('citytiptoe','citytiptoe@outlook.com','citytiptoe',40543,'Runner',5418),
('elapsepublisher','elapsepublisher@yahoomail.com','elapsepublisher',2169,'Runner',3757),
('colleagueexchange','colleagueexchange@yahoomail.com','colleagueexchange',55249,'Diamond',708),
('fileroute','fileroute@outlook.com','fileroute',22988,'Iron',4647),
('heavenspare','heavenspare@outlook.com','heavenspare',5200,'Grandmaster',9135),
('transmissionsink','transmissionsink@yahoomail.com','transmissionsink',84051,'Diamond',2776),
('mentionblade','mentionblade@outlook.com','mentionblade',64661,'',581),
('latestwrist','latestwrist@outlook.com','latestwrist',36975,'Master',6187),
('talentedcontempt','talentedcontempt@yahoomail.com','talentedcontempt',49623,'Plat',442),
('mentionleg','mentionleg@outlook.com','mentionleg',83366,'Diamond',718),
('agendaage','agendaage@gmail.com','agendaage',71293,'Master',1780),
('foolarrest','foolarrest@outlook.com','foolarrest',83332,'Silver',6386),
('siegebite','siegebite@gmail.com','siegebite',19468,'Bronze',7406),
('graphicresist','graphicresist@yahoomail.com','graphicresist',35061,'Bronze',4630),
('trainvillage','trainvillage@outlook.com','trainvillage',93628,'Bronze',9316),
('crueltycane','crueltycane@outlook.com','crueltycane',41917,'',7037),
('solveblade','solveblade@gmail.com','solveblade',33049,'Gold',8102),
('corpsecheck','corpsecheck@gmail.com','corpsecheck',23945,'Master',8798),
('representselection','representselection@yahoomail.com','representselection',60621,'Bronze',7181),
('visioncolleague','visioncolleague@outlook.com','visioncolleague',17065,'Grandmaster',4335),
('lightpreach','lightpreach@gmail.com','lightpreach',51255,'Diamond',342),
('wristillusion','wristillusion@outlook.com','wristillusion',35158,'Runner',7309),
('agendagallon','agendagallon@gmail.com','agendagallon',98243,'',4192),
('shakepossible','shakepossible@yahoomail.com','shakepossible',9384,'Silver',5812),
('transmissionopposed','transmissionopposed@yahoomail.com','transmissionopposed',60072,'Bronze',2545),
('sequencedrown','sequencedrown@yahoomail.com','sequencedrown',34608,'Bronze',4103),
('graphicbite','graphicbite@outlook.com','graphicbite',59117,'Master',6380),
('mentionsquare','mentionsquare@outlook.com','mentionsquare',38878,'Runner',6619),
('equippleasure','equippleasure@gmail.com','equippleasure',15488,'Gold',1830),
('recovergoat','recovergoat@gmail.com','recovergoat',8579,'Grandmaster',6740),
('illusionadopt','illusionadopt@outlook.com','illusionadopt',61172,'Plat',4718),
('standuncertainty','standuncertainty@yahoomail.com','standuncertainty',96298,'Iron',8701),
('adoptno','adoptno@yahoomail.com','adoptno',78434,'Diamond',1769),
('arrestglimpse','arrestglimpse@yahoomail.com','arrestglimpse',43821,'Iron',6463),
('cultureprint','cultureprint@gmail.com','cultureprint',95158,'Diamond',9695),
('finalwell','finalwell@outlook.com','finalwell',87904,'Master',3870),
('footballfamily','footballfamily@yahoomail.com','footballfamily',55740,'Iron',7528),
('absenceitem','absenceitem@gmail.com','absenceitem',18408,'',1480),
('shakego','shakego@yahoomail.com','shakego',47103,'Silver',8560),
('constituencytidy','constituencytidy@yahoomail.com','constituencytidy',86911,'',6770),
('agepick','agepick@yahoomail.com','agepick',80218,'Grandmaster',8071),
('reproductionhousewife','reproductionhousewife@gmail.com','reproductionhousewife',76974,'Grandmaster',458),
('wellstretch','wellstretch@outlook.com','wellstretch',47917,'Master',8859),
('tidywater','tidywater@yahoomail.com','tidywater',32898,'Gold',9711),
('corpseoh','corpseoh@gmail.com','corpseoh',52629,'Master',5755),
('retireenursery','retireenursery@yahoomail.com','retireenursery',79661,'Iron',2279),
('hikecheck','hikecheck@gmail.com','hikecheck',47808,'Iron',9189),
('lacematch','lacematch@yahoomail.com','lacematch',77988,'Bronze',4336),
('possessiongoat','possessiongoat@outlook.com','possessiongoat',69658,'Runner',993),
('preyaccurate','preyaccurate@outlook.com','preyaccurate',25746,'Bronze',8729),
('pleasantfootball','pleasantfootball@yahoomail.com','pleasantfootball',39433,'Bronze',4791),
('taxitwitch','taxitwitch@yahoomail.com','taxitwitch',62869,'Bronze',459),
('commemorateaccompany','commemorateaccompany@outlook.com','commemorateaccompany',55871,'',5400),
('fistlocate','fistlocate@gmail.com','fistlocate',99162,'',9977),
('footballcolleague','footballcolleague@outlook.com','footballcolleague',70537,'Silver',6312),
('dismissalpleasure','dismissalpleasure@outlook.com','dismissalpleasure',7346,'Bronze',8183),
('commemoratecredit','commemoratecredit@outlook.com','commemoratecredit',37380,'Bronze',5266),
('checkprogress','checkprogress@outlook.com','checkprogress',74548,'Grandmaster',2175),
('doubtsiege','doubtsiege@yahoomail.com','doubtsiege',94975,'',4118),
('wisecrackhusband','wisecrackhusband@outlook.com','wisecrackhusband',80193,'Grandmaster',6524),
('descentaccessible','descentaccessible@yahoomail.com','descentaccessible',22484,'Grandmaster',2597),
('criticismdisaster','criticismdisaster@yahoomail.com','criticismdisaster',65652,'Bronze',754),
('grimacebaby','grimacebaby@yahoomail.com','grimacebaby',7134,'Iron',2446),
('appearserve','appearserve@yahoomail.com','appearserve',96932,'Iron',6175),
('positionbite','positionbite@outlook.com','positionbite',15915,'Bronze',2048),
('tunepick','tunepick@outlook.com','tunepick',85209,'Runner',9630),
('faxreturn','faxreturn@yahoomail.com','faxreturn',91861,'Grandmaster',4778),
('ageprogressive','ageprogressive@yahoomail.com','ageprogressive',32549,'Runner',9247),
('changecruelty','changecruelty@yahoomail.com','changecruelty',64253,'Master',8376),
('civilizationprinter','civilizationprinter@outlook.com','civilizationprinter',59002,'Grandmaster',4579),
('changereview','changereview@gmail.com','changereview',33006,'Gold',2083),
('descentroutine','descentroutine@yahoomail.com','descentroutine',64998,'',4747),
('refundpossible','refundpossible@yahoomail.com','refundpossible',57877,'Bronze',6457),
('freedomopinion','freedomopinion@yahoomail.com','freedomopinion',82945,'Plat',520),
('footballstable','footballstable@outlook.com','footballstable',9260,'Diamond',3464),
('possiblespare','possiblespare@gmail.com','possiblespare',79954,'Gold',8196),
('colleaguespare','colleaguespare@gmail.com','colleaguespare',14873,'',9157),
('progressiveafford','progressiveafford@gmail.com','progressiveafford',70884,'',1807),
('dietculture','dietculture@outlook.com','dietculture',74934,'Iron',1003),
('wristpie','wristpie@gmail.com','wristpie',80478,'Plat',5878),
('foolaward','foolaward@outlook.com','foolaward',98088,'Plat',6016),
('feedbackcoup','feedbackcoup@gmail.com','feedbackcoup',16202,'Master',9791),
('smallprayer','smallprayer@yahoomail.com','smallprayer',74395,'Diamond',3965),
('interestget','interestget@yahoomail.com','interestget',5895,'Plat',9405),
('footballfamily','footballfamily@outlook.com','footballfamily',6610,'Diamond',4477),
('familycottage','familycottage@yahoomail.com','familycottage',82543,'Diamond',5880),
('fearglimpse','fearglimpse@outlook.com','fearglimpse',85289,'Diamond',667),
('holerough','holerough@outlook.com','holerough',15355,'',7865),
('crackpotbed','crackpotbed@outlook.com','crackpotbed',47105,'Diamond',7210),
('preycivilization','preycivilization@yahoomail.com','preycivilization',41848,'Gold',2439),
('modestelegant','modestelegant@gmail.com','modestelegant',67954,'Bronze',8551),
('chocolateroute','chocolateroute@outlook.com','chocolateroute',92977,'Runner',8190),
('checkchocolate','checkchocolate@outlook.com','checkchocolate',11722,'Runner',4823),
('superintendentwrist','superintendentwrist@yahoomail.com','superintendentwrist',15773,'Grandmaster',5658),
('gregarioustransmission','gregarioustransmission@gmail.com','gregarioustransmission',85681,'Iron',503),
('failureculture','failureculture@gmail.com','failureculture',55352,'Plat',2820),
('constituencyextract','constituencyextract@gmail.com','constituencyextract',76682,'Master',9129),
('servewarrant','servewarrant@outlook.com','servewarrant',93038,'Plat',7197),
('wristhusband','wristhusband@gmail.com','wristhusband',43357,'Master',9482),
('galloncutting','galloncutting@gmail.com','galloncutting',38220,'Iron',30),
('reviewfuss','reviewfuss@gmail.com','reviewfuss',67734,'Gold',7122),
('footballillusion','footballillusion@outlook.com','footballillusion',48700,'Diamond',8043),
('amplelisten','amplelisten@outlook.com','amplelisten',86388,'Iron',1555),
('retireetrench','retireetrench@gmail.com','retireetrench',58569,'Gold',2627),
('filegallon','filegallon@yahoomail.com','filegallon',56155,'Grandmaster',7584),
('superintendentcorpse','superintendentcorpse@outlook.com','superintendentcorpse',12109,'Diamond',6499),
('warrantaward','warrantaward@outlook.com','warrantaward',48624,'Diamond',1934),
('expertisegraphic','expertisegraphic@outlook.com','expertisegraphic',43647,'Silver',6114),
('exchangecorpse','exchangecorpse@gmail.com','exchangecorpse',2479,'Silver',3283),
('mentionreturn','mentionreturn@gmail.com','mentionreturn',70677,'Runner',6111),
('checktiptoe','checktiptoe@yahoomail.com','checktiptoe',9794,'Grandmaster',185),
('listendefendant','listendefendant@gmail.com','listendefendant',15220,'Grandmaster',3009),
('movinghole','movinghole@yahoomail.com','movinghole',59529,'Bronze',415),
('caloriereason','caloriereason@gmail.com','caloriereason',32043,'Grandmaster',5864),
('wristglimpse','wristglimpse@yahoomail.com','wristglimpse',63555,'Bronze',2042),
('cuttingwisecrack','cuttingwisecrack@outlook.com','cuttingwisecrack',92836,'Iron',7340),
('doubtafford','doubtafford@gmail.com','doubtafford',98584,'Runner',7299),
('illusioncurtain','illusioncurtain@yahoomail.com','illusioncurtain',43744,'',8622),
('defendantestablish','defendantestablish@yahoomail.com','defendantestablish',96465,'Runner',1828),
('trenchprinter','trenchprinter@yahoomail.com','trenchprinter',61289,'Diamond',4950),
('lacksniff','lacksniff@yahoomail.com','lacksniff',93492,'Plat',7226),
('bulletdrown','bulletdrown@outlook.com','bulletdrown',54393,'Diamond',5084),
('bomberarena','bomberarena@outlook.com','bomberarena',27907,'',1167),
('publisherprey','publisherprey@yahoomail.com','publisherprey',84157,'Grandmaster',9265),
('quartersolve','quartersolve@outlook.com','quartersolve',73411,'Gold',1840),
('biteclique','biteclique@outlook.com','biteclique',53046,'Master',7104),
('additioncylinder','additioncylinder@gmail.com','additioncylinder',19420,'Master',3077),
('corpsetrunk','corpsetrunk@outlook.com','corpsetrunk',90534,'Master',9078),
('canebaby','canebaby@gmail.com','canebaby',83688,'Gold',4075),
('shakeprinter','shakeprinter@gmail.com','shakeprinter',61902,'Silver',3116),
('interfaceno','interfaceno@gmail.com','interfaceno',53797,'Iron',1214),
('reasonreturn','reasonreturn@outlook.com','reasonreturn',25012,'Grandmaster',8666),
('pleasantdescribe','pleasantdescribe@outlook.com','pleasantdescribe',95077,'',9129),
('canesandwich','canesandwich@yahoomail.com','canesandwich',4019,'',6564),
('expansionelegant','expansionelegant@gmail.com','expansionelegant',62939,'Silver',5451),
('disgracegallon','disgracegallon@outlook.com','disgracegallon',84111,'Runner',4211),
('wristno','wristno@gmail.com','wristno',77801,'Gold',2742),
('fame	transmission','fame	transmission@yahoomail.com','fame	transmission',47082,'Gold',1824),
